index,para_name,W_in,W_out,lambda_center_nm,T_list2_center,valid,status,basic_mat_path
15,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_1.15_W_out_0.45_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,1.15,0.45,1550,0.996810174227346,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_1.15_W_out_0.45_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
16,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_1.2_W_out_0.45_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,1.2,0.45,1550,0.9966041933432,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_1.2_W_out_0.45_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
17,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_1.25_W_out_0.45_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,1.25,0.45,1550,0.996493221357467,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_1.25_W_out_0.45_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
18,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_1.3_W_out_0.45_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,1.3,0.45,1550,0.99637563723128,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_1.3_W_out_0.45_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
19,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_1.35_W_out_0.45_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,1.35,0.45,1550,0.99644596214492,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_1.35_W_out_0.45_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
20,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_1.4_W_out_0.45_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,1.4,0.45,1550,0.996381460146051,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_1.4_W_out_0.45_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
21,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_1.45_W_out_0.45_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,1.45,0.45,1550,0.996197929174529,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_1.45_W_out_0.45_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
22,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_1.5_W_out_0.45_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,1.5,0.45,1550,0.995087211109359,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_1.5_W_out_0.45_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
23,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.45_W_out_0.5_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,0.45,0.5,1550,0.999883107604274,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.45_W_out_0.5_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
24,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.5_W_out_0.5_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,0.5,0.5,1550,0.999824089082493,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.5_W_out_0.5_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
25,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.55_W_out_0.5_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,0.55,0.5,1550,0.999473189859893,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.55_W_out_0.5_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
26,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.6_W_out_0.5_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,0.6,0.5,1550,0.999134215718218,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.6_W_out_0.5_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
27,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.65_W_out_0.5_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,0.65,0.5,1550,0.998851160799038,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.65_W_out_0.5_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
28,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.7_W_out_0.5_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,0.7,0.5,1550,0.998504264742023,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.7_W_out_0.5_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
29,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.75_W_out_0.5_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,0.75,0.5,1550,0.998336345489227,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.75_W_out_0.5_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
30,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.8_W_out_0.5_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,0.8,0.5,1550,0.998109840502151,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.8_W_out_0.5_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
31,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.85_W_out_0.5_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,0.85,0.5,1550,0.997886085728069,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.85_W_out_0.5_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
32,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.9_W_out_0.5_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,0.9,0.5,1550,0.997747135914901,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.9_W_out_0.5_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
33,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.95_W_out_0.5_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,0.95,0.5,1550,0.997563353297545,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.95_W_out_0.5_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
34,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_1_W_out_0.5_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,1,0.5,1550,0.997412695192799,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_1_W_out_0.5_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
35,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_1.05_W_out_0.5_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,1.05,0.5,1550,0.997264306450167,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_1.05_W_out_0.5_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
36,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_1.1_W_out_0.5_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,1.1,0.5,1550,0.997247276577473,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_1.1_W_out_0.5_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
